Latitude,Longitude,Depth,Magnitude,Max. int,Region,day,date,pm1,pm10,pm25,temperature,estacion_ID,CO,NO2,O3,SO2,Humidity,Illuminance
28.5465,-17.8378,14.2,3.7,III,Fuencaliente,312,2021-11-08,NA,NA,NA,18.900061410052658,10.303435773480663,282.92944077063623,35.88275982567334,44.49512555318111,41.84969189978418,64.89359804172565,242.69669721685085
28.5639,-17.8359,11.1,3.6,III,Fuencaliente,312,2021-11-08,NA,NA,NA,18.900061410052658,10.303435773480663,282.92944077063623,35.88275982567334,44.49512555318111,41.84969189978418,64.89359804172565,242.69669721685085
28.5617,-17.8297,12.8,3.6,III-IV,Fuencaliente,311,2021-11-07,NA,NA,NA,18.58310281375673,10.3009533056757,257.19038314161,35.53918743946509,46.312839582500665,8.173842409488923,66.42174590319534,106.69208423151647
28.5464,-17.8453,35.6,4.5,IV,Fuencaliente,310,2021-11-06,NA,NA,NA,18.76256363228447,10.282005016943184,265.8371338823131,33.64168154483563,44.21229055294195,15.547740352383048,69.25983657262245,102.14879530113541
28.5592,-17.832,12.2,3.6,III,Fuencaliente,310,2021-11-06,NA,NA,NA,18.76256363228447,10.282005016943184,265.8371338823131,33.64168154483563,44.21229055294195,15.547740352383048,69.25983657262245,102.14879530113541
28.5598,-17.8321,11.4,4,III-IV,Fuencaliente,310,2021-11-06,NA,NA,NA,18.76256363228447,10.282005016943184,265.8371338823131,33.64168154483563,44.21229055294195,15.547740352383048,69.25983657262245,102.14879530113541
28.5595,-17.8342,12.4,3.8,III-IV,Fuencaliente,309,2021-11-05,NA,NA,NA,18.713544366305733,10.36348195329087,257.94425096050105,34.23059017729087,41.62981394178344,1.2598282091252653,80.27990134387261,132.50426835231846
28.5603,-17.8387,13.6,3.4,III-IV,Fuencaliente,308,2021-11-04,NA,NA,NA,20.33618365248583,10.314222664532041,253.43728912541215,41.069414624122714,39.62729713146121,3.6858751306953397,72.80054227758643,200.24377407257586
28.5554,-17.8451,15,3.5,IV,Fuencaliente,308,2021-11-04,NA,NA,NA,20.33618365248583,10.314222664532041,253.43728912541215,41.069414624122714,39.62729713146121,3.6858751306953397,72.80054227758643,200.24377407257586
28.558,-17.8263,11.2,3.4,III-IV,Fuencaliente,308,2021-11-04,NA,NA,NA,20.33618365248583,10.314222664532041,253.43728912541215,41.069414624122714,39.62729713146121,3.6858751306953397,72.80054227758643,200.24377407257586
28.5579,-17.8439,10.8,3.6,II-III,Fuencaliente,308,2021-11-04,NA,NA,NA,20.33618365248583,10.314222664532041,253.43728912541215,41.069414624122714,39.62729713146121,3.6858751306953397,72.80054227758643,200.24377407257586
28.5609,-17.833,10.5,3.6,III,Fuencaliente,308,2021-11-04,NA,NA,NA,20.33618365248583,10.314222664532041,253.43728912541215,41.069414624122714,39.62729713146121,3.6858751306953397,72.80054227758643,200.24377407257586
28.5596,-17.8375,12.3,3.4,III-IV,Fuencaliente,308,2021-11-04,NA,NA,NA,20.33618365248583,10.314222664532041,253.43728912541215,41.069414624122714,39.62729713146121,3.6858751306953397,72.80054227758643,200.24377407257586
28.5667,-17.8451,10.8,3.6,NA,Fuencaliente,307,2021-11-03,NA,NA,NA,19.82225318693853,10.332657987757566,260.60501277748943,41.544033185231484,36.64712059021036,18.798443366699715,73.11566153350289,162.4578452059143
28.552,-17.8378,14.2,3.7,III-IV,Fuencaliente,307,2021-11-03,NA,NA,NA,19.82225318693853,10.332657987757566,260.60501277748943,41.544033185231484,36.64712059021036,18.798443366699715,73.11566153350289,162.4578452059143
28.5602,-17.8423,10.7,3.4,III-IV,Fuencaliente,306,2021-11-02,NA,NA,NA,20.08935769063704,10.334446442332391,298.9472655284699,35.43027865910181,32.95127487272027,5.1009019765134,71.90642453225448,249.52129722731397
28.5538,-17.8262,12.7,3.5,III-IV,Fuencaliente,306,2021-11-02,NA,NA,NA,20.08935769063704,10.334446442332391,298.9472655284699,35.43027865910181,32.95127487272027,5.1009019765134,71.90642453225448,249.52129722731397
28.5587,-17.8383,12.5,3.7,IV,Fuencaliente,306,2021-11-02,NA,NA,NA,20.08935769063704,10.334446442332391,298.9472655284699,35.43027865910181,32.95127487272027,5.1009019765134,71.90642453225448,249.52129722731397
28.5576,-17.8475,12.5,4.1,IV,Fuencaliente,306,2021-11-02,NA,NA,NA,20.08935769063704,10.334446442332391,298.9472655284699,35.43027865910181,32.95127487272027,5.1009019765134,71.90642453225448,249.52129722731397
28.5538,-17.833,13.9,3.6,III-IV,Fuencaliente,306,2021-11-02,NA,NA,NA,20.08935769063704,10.334446442332391,298.9472655284699,35.43027865910181,32.95127487272027,5.1009019765134,71.90642453225448,249.52129722731397
28.5577,-17.8358,10.3,4,IV,Fuencaliente,305,2021-11-01,NA,NA,NA,19.63410913808498,10.345497550261868,305.9304119396224,36.24769675227657,34.91246827284592,53.00883162442558,71.70225888452019,209.3601492562764
28.5608,-17.8349,10.7,3.6,NA,Fuencaliente,305,2021-11-01,NA,NA,NA,19.63410913808498,10.345497550261868,305.9304119396224,36.24769675227657,34.91246827284592,53.00883162442558,71.70225888452019,209.3601492562764
28.5602,-17.8366,10.6,3.9,IV,Fuencaliente,305,2021-11-01,NA,NA,NA,19.63410913808498,10.345497550261868,305.9304119396224,36.24769675227657,34.91246827284592,53.00883162442558,71.70225888452019,209.3601492562764
